年月,總計,占全體企業放款餘額之比率,占民營企業放款餘額之比率,中小企業放款平均逾放比,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)銀行,澳盛銀行,中華開發工業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)銀行,台新國際商業銀行,大眾商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,樂天銀行
111年12月,"9,283,277",65.32%,69.48%,0.26%,"457,532","610,686","829,482","930,041","693,189","570,133","270,462","271,575","304,166","8,949","71,942","621,654","6,173",,,"31,805","731,943","4,579","193,254","148,640","24,033","18,627","63,091","163,956","212,023","86,420","36,712","131,819","60,104","171,995","303,079","507,230","54,528","27,325","257,619",,"35,501","47,427","325,582",
112年1月,"9,276,734",64.79%,68.99%,0.26%,"441,728","613,326","832,810","918,053","682,401","570,100","273,437","275,307","310,752","9,015","70,810","613,459","6,436",,,"31,574","726,299","4,254","191,824","150,102","24,125","18,844","64,779","162,619","212,426","86,377","36,974","132,042","61,380","169,852","314,527","510,773","59,644","26,753","256,401",,"33,799","47,304","336,430",
112年2月,"9,268,480",64.75%,69.20%,0.26%,"439,634","613,765","834,914","905,032","681,751","566,025","272,981","275,866","311,811","8,981","71,009","615,034","6,254",,,"30,750","724,596","4,112","192,486","151,299","22,367","19,025","65,128","162,466","213,095","87,713","37,182","133,602","62,804","171,007","316,084","510,121","59,524","26,574","260,122",,"33,483","46,510","335,373",
112年3月,"9,282,581",64.79%,69.49%,0.25%,"434,172","614,130","834,523","911,985","684,163","564,559","273,259","284,778","309,662","9,254","72,334","619,811","5,815",,,"31,398","726,980","3,813","192,622","151,695","21,048","18,834","67,422","162,678","213,561","88,193","38,056","135,644","64,497","171,442","312,141","508,965","59,467","25,943","265,426",,"31,468","49,239","323,602",
112年4月,"9,307,866",64.96%,69.63%,0.25%,"429,820","613,354","833,668","908,793","684,757","571,193","274,891","313,962","310,075","9,361","71,874","616,745","6,133",,,"29,067","727,314","3,611","190,513","150,945","21,628","19,053","68,141","163,999","214,973","90,119","38,055","137,566","65,237","174,314","316,094","512,529","59,829","26,836","262,883",,,"49,966","340,565",
112年5月,"9,364,738",64.69%,69.37%,0.26%,"434,180","613,698","827,122","920,306","692,145","572,765","276,011","323,916","311,233","9,047","73,373","617,879","6,207",,,"30,156","727,568","3,720","191,269","150,505","22,179","19,396","68,760","166,130","214,590","90,757","37,725","140,366","64,627","176,104","321,447","515,664","60,323","26,234","264,680",,,"49,382","345,272",
112年6月,"9,431,256",65.44%,69.92%,0.25%,"439,716","615,539","829,905","926,449","708,201","580,397","277,902","333,000","314,641","9,355","74,983","617,590","6,426",,,"31,614","731,367","3,230","193,177","151,280","23,549","18,701","69,463","170,907","215,416","92,386","37,225","141,766","64,185","175,774","320,514","517,839","59,865","25,037","268,236",,,"49,142","336,480",
112年7月,"9,484,865",64.51%,68.80%,0.24%,"437,493","617,298","829,446","923,330","711,506","585,168","279,645","334,337","315,959","9,172","75,261","625,651","5,791",,,"31,678","733,719","3,210","193,384","147,369","23,846","18,662","70,065","169,236","216,750","92,943","37,085","144,780","61,861","177,278","325,676","524,649","61,383","25,248","273,049",,,"48,376","354,564",
112年8月,"9,532,462",64.39%,68.57%,0.24%,"442,891","617,191","828,191","930,103","724,698","589,857","280,733","338,606","314,770","9,430","74,776","629,949","6,094",,,"31,673","737,152","2,889","196,272","146,824","23,087","18,602","71,380","168,158","218,272","93,186","36,966","145,343","59,240","176,659","329,054","534,267","60,365","23,032","273,842",,,"48,342","350,569",
112年9月,"9,581,649",64.66%,68.73%,0.23%,"447,502","617,369","832,005","930,665","735,651","600,358","281,509","342,466","320,035","9,246","75,512","633,767","6,065",,,"31,101","741,428","2,676","196,401","146,460","24,311","18,633","70,126","167,488","218,665","93,912","37,524","145,636","58,441","177,438","328,163","536,011","60,321","24,448","272,080",,,"49,714","348,524",
112年10月,"9,633,554",65.02%,68.79%,0.24%,"447,319","614,710","832,583","930,264","739,145","606,614","282,910","346,390","318,133","9,751","76,921","634,848","5,848",,,"31,883","745,982","2,526","196,699","145,181","24,920","18,406","72,205","168,956","220,726","95,606","37,080","146,764","59,464","182,213","332,552","542,049","61,397","24,451","276,299",,,"49,828","352,929",
112年11月,"9,689,716",65.15%,68.95%,0.24%,"449,286","614,828","836,114","923,492","749,238","616,752","282,508","346,493","318,090","9,586","77,590","642,805","5,613",,,"31,926","747,512","2,409","196,999","144,743","23,939","18,214","72,642","175,515","221,823","96,056","36,436","145,977","60,713","188,511","337,154","550,441","62,170","23,805","279,137",,,"52,455","348,744",
112年12月,"9,766,426",65.21%,69.26%,0.22%,"457,805","616,789","830,999","925,781","763,784","625,770","282,882","343,314","324,048","9,688","79,014","649,573","5,392",,,"35,519","773,831","2,275","199,684","144,766","24,582","18,074","71,721","181,689","223,276","96,646","35,922","147,998","59,409","188,012","325,096","559,448","61,507","23,618","281,381",,,"50,844","346,290",
113年1月,"9,769,485",65.96%,69.33%,0.24%,"448,795","612,204","827,346","922,067","755,005","630,097","283,311","349,851","327,517","10,218","79,101","653,593","5,323",,,"35,445","755,036","2,109","199,843","144,961","25,039","17,919","74,073","181,760","218,595","97,830","35,486","147,335","63,187","188,365","333,666","559,934","63,540","23,486","289,980",,,"51,827","355,645",
113年2月,"9,808,709",65.60%,68.99%,0.24%,"447,828","614,596","830,657","920,534","755,197","633,980","283,382","351,748","329,273","10,294","81,517","662,011","5,631",,,"35,434","758,667","2,003","199,975","144,060","24,622","17,941","74,305","183,984","219,850","97,493","35,469","146,786","63,866","194,459","337,837","563,953","59,773","22,897","291,516",,,"51,637","355,536",
113年3月,"9,864,938",65.31%,68.75%,0.24%,"448,572","611,422","829,831","927,917","762,524","638,841","285,211","351,519","324,901","10,524","84,520","676,784","5,698",,,"35,872","764,187","1,899","199,311","143,875","25,902","17,929","75,363","189,578","220,145","98,040","35,788","145,805","64,856","196,720","348,567","568,415","60,269","23,227","289,272",,,"51,094","350,560",
113年4月,9884110,0.6502,0.6847,0.0025,441564,605531,827613,924063,764352,636010,284665,355251,328271,10194,85179,678425,5956,,,36498,765602,1778,197495,142476,24519,18227,75562,189253,221781,97521,35955,147912,65981,197678,352317,571521,60964,23743,293572,,,51090,364691,900
